,Göteborg,Falkenberg,Varberg,Kungsbacka,Härryda,Partille,Öckerö,Stenungsund,Tjörn,Orust,Ale,Lerum,Vårgårda,Bollebygd,Lilla Edet,Mark,Herrljunga,Mölndal,Kungälv,Alingsås,,,,,,,,,,,,,,,,,,
Göteborg,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkenberg,104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varberg,78,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kungsbacka,32,76,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Härryda,14,106,80,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partille,11,109,83,36,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Öckerö,25,125,98,52,37,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stenungsund,51,149,123,76,59,54,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tjörn,67,166,139,92,76,71,87,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orust,75,173,147,100,83,78,95,30,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ale,28,127,101,54,37,32,50,41,59,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lerum,22,120,94,47,24,13,44,63,81,89,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Vårgårda,69,167,141,94,71,60,90,110,128,110,59,48,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bollebygd,43,109,76,41,32,34,65,85,103,111,66,32,59,0,,,,,,,,,,,,,,,,,,,,,,,,
Lilla Edet,54,153,127,80,63,57,75,29,48,44,27,55,63,91,0,,,,,,,,,,,,,,,,,,,,,,,
Mark,63,85,58,49,53,55,85,105,124,131,86,53,76,28,112,0,,,,,,,,,,,,,,,,,,,,,,
Herrljunga,84,183,156,109,87,75,106,125,144,118,74,64,17,69,73,78,0,,,,,,,,,,,,,,,,,,,,,
Mölndal,10,95,69,22,12,15,33,53,71,79,34,26,73,41,59,61,89,0,,,,,,,,,,,,,,,,,,,,
Kungälv,21,120,93,47,30,25,41,28,46,54,13,36,83,58,39,79,99,26,0,,,,,,,,,,,,,,,,,,,
Alingsås,48,146,120,73,50,39,69,77,95,103,37,27,23,39,52,75,38,53,50,0,,,,,,,,,,,,,,,,,,
