,Malmö,Svalöv,Staffanstorp,Burlöv,Vellinge,Örkelljunga,Bjuv,Kävlinge,Lomma,Svedala,Skurup,Sjöbo,Hörby,Höör,Tomelilla,Perstorp,Klippan,Åstorp,Båstad,Lund,Landskrona,Helsingborg,Höganäs,Eslöv,Ystad,Trelleborg,Simrishamn,Ängelholm,,,,,,,,,,
Malmö,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Svalöv,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staffanstorp,15,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlöv,7,40,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vellinge,17,62,30,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Örkelljunga,105,66,102,99,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bjuv,76,26,73,70,91,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kävlinge,29,17,22,23,45,86,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lomma,13,35,14,7,32,94,66,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Svedala,22,60,19,25,26,119,91,44,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skurup,39,77,35,42,43,137,108,61,48,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sjöbo,49,75,34,46,61,135,106,54,46,50,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hörby,53,46,43,49,69,77,72,40,48,67,58,29,0,,,,,,,,,,,,,,,,,,,,,,,,,
Höör,56,40,46,52,72,66,52,43,51,70,87,41,14,0,,,,,,,,,,,,,,,,,,,,,,,,
Tomelilla,69,95,54,66,79,128,126,74,66,56,39,21,49,61,0,,,,,,,,,,,,,,,,,,,,,,,
Perstorp,80,41,78,74,95,23,39,51,69,94,111,73,46,35,93,0,,,,,,,,,,,,,,,,,,,,,,
Klippan,91,32,88,85,107,27,23,50,81,105,122,80,54,42,101,18,0,,,,,,,,,,,,,,,,,,,,,
Åstorp,79,30,76,73,94,29,10,60,68,92,100,106,66,52,126,31,14,0,,,,,,,,,,,,,,,,,,,,
Båstad,112,89,110,107,128,37,48,94,102,126,143,140,107,93,160,72,49,43,0,,,,,,,,,,,,,,,,,,,
Lund,20,31,10,16,36,96,67,15,11,34,51,36,37,39,56,71,83,71,103,0,,,,,,,,,,,,,,,,,,
Landskrona,44,20,41,38,60,68,40,21,34,58,75,71,69,51,91,71,55,43,75,34,0,,,,,,,,,,,,,,,,,
Helsingborg,65,41,62,59,81,48,19,46,55,79,96,92,90,72,112,51,35,23,55,55,29,0,,,,,,,,,,,,,,,,
Höganäs,86,62,83,80,101,55,34,67,76,100,117,113,111,78,133,57,41,29,53,76,50,25,0,,,,,,,,,,,,,,,
Eslöv,38,21,29,34,54,94,47,22,33,52,69,54,26,24,74,49,48,69,102,22,32,54,76,0,,,,,,,,,,,,,,
Ystad,61,98,56,63,65,158,129,82,69,41,24,25,53,65,17,97,145,133,165,60,96,118,139,92,0,,,,,,,,,,,,,
Trelleborg,33,78,46,40,17,137,109,62,49,18,31,79,86,89,72,113,124,112,145,53,76,97,119,71,58,0,,,,,,,,,,,,
Simrishamn,96,122,81,93,108,132,153,101,93,84,67,48,76,88,28,121,128,156,189,83,120,141,163,101,40,100,0,,,,,,,,,,,
Ängelholm,86,63,84,81,102,30,22,68,76,100,117,114,81,67,134,46,24,18,29,77,50,29,22,75,139,118,161,0,,,,,,,,,,
