,Stockholm,Upplands Väsby,Vallentuna,Österåker,Värmdö,Järfälla,Ekerö,Huddinge,Botkyrka,Salem,Haninge,Tyresö,Upplands-Bro,Nykvarn,Täby,Danderyd,Sollentuna,Södertälje,Nacka,Sundbyberg,Solna,Lidingö,Vaxholm,Norrtälje,Sigtuna,Nynäshamn,Håbo,Knivsta,Heby,Tierp,Uppsala,Enköping,Östhammar,Gnesta,Flen,Strängnäs,Trosa,
Stockholm,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upplands Väsby,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallentuna,29,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Österåker,43,39,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Värmdö,35,60,51,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Järfälla,21,19,29,49,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekerö,20,37,43,58,55,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huddinge,16,40,44,59,42,32,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botkyrka,28,49,54,69,54,42,15,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem,30,51,56,71,56,44,17,19,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haninge,22,47,50,64,47,43,40,17,28,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyresö,19,44,47,61,44,40,37,18,29,39,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Upplands-Bro,41,28,38,61,75,22,45,52,61,64,62,59,0,,,,,,,,,,,,,,,,,,,,,,,,,
Nykvarn,65,50,45,55,86,66,80,81,90,93,88,85,76,0,,,,,,,,,,,,,,,,,,,,,,,,
Täby,15,17,13,31,51,26,30,31,40,43,38,35,41,52,0,,,,,,,,,,,,,,,,,,,,,,,
Danderyd,10,25,23,38,46,21,25,26,35,38,33,30,40,59,7,0,,,,,,,,,,,,,,,,,,,,,,
Sollentuna,14,14,18,37,49,12,26,29,38,41,36,33,29,59,16,14,0,,,,,,,,,,,,,,,,,,,,,
Södertälje,37,58,63,77,62,50,23,25,15,11,41,45,70,99,49,44,46,0,,,,,,,,,,,,,,,,,,,,
Nacka,9,34,37,52,26,30,29,16,28,30,22,18,49,73,23,19,22,37,0,,,,,,,,,,,,,,,,,,,
Sundbyberg,8,23,30,44,41,14,15,19,29,31,28,25,33,66,16,12,12,38,16,0,,,,,,,,,,,,,,,,,,
Solna,7,23,29,43,39,19,16,18,27,30,27,23,38,65,15,10,11,36,15,2,0,,,,,,,,,,,,,,,,,
Lidingö,7,29,31,46,40,25,27,24,33,36,28,28,44,67,18,13,18,42,16,12,11,0,,,,,,,,,,,,,,,,
Vaxholm,34,36,27,34,24,45,49,50,59,61,57,54,59,64,22,28,35,68,45,35,34,37,0,,,,,,,,,,,,,,,
Norrtälje,69,65,48,45,89,75,83,84,93,96,92,88,88,32,56,63,63,102,79,70,68,71,66,0,,,,,,,,,,,,,,
Sigtuna,47,24,30,60,81,41,58,61,71,73,69,65,31,49,39,47,35,80,57,46,45,51,58,75,0,,,,,,,,,,,,,
Nynäshamn,59,84,87,101,84,80,76,53,46,48,39,47,99,123,73,68,72,53,59,65,63,65,92,127,105,0,,,,,,,,,,,,
Håbo,46,34,44,67,81,28,51,58,67,70,68,65,18,66,46,46,34,76,56,40,44,51,64,93,24,105,0,,,,,,,,,,,
Knivsta,54,31,41,67,88,48,65,68,77,80,76,72,37,36,46,53,41,86,63,53,51,58,64,57,16,112,30,0,,,,,,,,,,
Heby,110,97,108,131,144,91,114,122,131,133,132,128,81,103,109,110,97,122,120,104,108,114,128,124,88,168,66,72,0,,,,,,,,,
Tierp,127,104,114,140,161,121,138,141,150,153,148,145,130,109,119,126,114,159,136,126,124,131,137,130,95,185,115,79,81,0,,,,,,,,
Uppsala,69,46,56,82,103,63,80,83,92,95,90,87,72,51,61,68,56,101,78,68,66,73,79,72,33,127,55,21,48,62,0,,,,,,,
Enköping,76,63,74,96,110,57,80,87,99,95,98,94,47,102,75,76,63,84,86,70,74,80,94,122,54,134,32,59,40,106,46,0,,,,,,
Östhammar,134,111,121,115,168,128,145,148,158,160,156,152,137,71,126,133,121,166,143,133,132,138,124,71,102,192,122,86,115,70,67,112,0,,,,,
Gnesta,67,88,93,108,93,81,54,56,46,41,72,76,100,129,79,75,77,33,68,68,68,73,99,133,110,83,106,117,121,190,132,83,197,0,,,,
Flen,118,139,144,159,144,132,105,107,97,92,123,127,132,180,130,126,128,82,119,119,119,124,150,184,139,134,117,145,125,193,133,87,200,48,0,,,
Strängnäs,84,96,107,125,110,90,71,73,63,59,89,93,80,136,97,92,94,48,85,85,85,90,116,150,87,100,65,92,73,140,81,35,148,46,51,0,,
Trosa,73,84,99,113,99,87,60,62,51,47,78,81,106,135,85,81,83,39,74,74,73,79,104,139,116,73,112,122,159,196,137,120,203,26,74,85,0
